Equation a b c d e
1 a·log(D)+b 2.4452 –1.7143 – – –
2 a·log(D)+b 2.45 0.681 – – –
3 a·log(D)+b 2.0027 0.0629 – – –
4 a·log(D)+b 2.4613 –0.4023 – – –
5 a·Db 5.2193.10–4 1.459 – – –
6 a+b·Dc 0.0060722 9.58.10–6 2.5578 – –
7 a+b·ln(D) –2.7606 2.5189 – – –
8 a+b·ln(D) –2.7018 2.5751 – – –
9 a·Db 0.00079 2.28546 – – –
10 a·Db 0.003090 2.022126 – – –
11 a·Db 0.0859 2.3537 – – –
12 a·Db 0.000003 2.880598 – – –
13 a·Db 0.0000006 3.28106 – – –
14 a·Db 0.0146 2.5191 – – –
15 a·Db 0.000003 2.547045 – – –
16 a·Db 0.00239 1.32535 – – –
17 a·Db 0.005609 1.888345 – – –
18 a·Db 0.00119 2.17247 – – –
19 a·Db 0.0841 2.4501 – – –
20 a·Db 0.00030 2.42847 – – –
21 a·Db 0.000499 2.337592 – – –
22 a·Db 0.00001 2.65455 – – –
23 a·Db 0.000100 2.297058 – – –
24 a·Db 0.00001 2.44406 – – –
25 a·Db 0.000076 2.02604 – – –
26 a·Db 0.00029 2.40128 – – –
27 a·Db 0.000368 2.335763 – – –
28 a+b·D2 –2.7563 0.3045 – – –
29 a+b·D2 –2.8816 0.2639 – – –
30 a+b·D2 0.1253 0.040617 – – –
31 a·Db 0.00087 2.28639 – – –
32 a·Db 0.2511 2.29 – – –
33 a·Db 0.00002 2.63001 – – –
34 a·Db 0.0742 2.24 – – –
35 a·Db 0.00371 1.11993 – – –
36 a·log(D)+b 2.3547 –1.3 – – –
37 a·log(H·D2)+b 0.9308 –1.8 – – –
38 a·Db 0.00080 2.28244 – – –
39 a·Db 0.193 2.25 – – –
40 a·Db 0.00029 2.50038 – – –
41 a·Db 0.00004 2.52978 – – –
42 a·Db 0.00090 1.47663 – – –
43 a+b·ln(D2·H) –2.1909 0.8808 – – –
44 a+b·ln(D2·H) –2.0706 0.7942 – – –
45 a·Db 0.00020 2.54302 – – –
46 a+b·ln(D2·H) –1.6047 0.9450 – – –
47 a+b·ln(D2·H) –1.5195 0.9204 – – –
48 a+b·ln(D) –0.305 1.953 – – –
49 a+b·ln(D) –3.368 2.041 – – –
50 a+b·ln(D) 0.525 1.398 – – –
51 a+b·ln(D) –0.313 2.140 – – –
52 a+b·ln(D) –2.4166 2.4227 – – –
53 a+b·ln(D) –2.7584 2.6134 – – –
54 a+b·ln(D) –2.1625 2.3078 – – –
55 a+b·ln(D) –2.6423 2.4678 – – –
56 a+b·log(D2·H) –3.810 1.2911 – – –
57 a+b·ln(D)+c·H+d·ln[(D2)·H] 12.0993 8.5963 0.0406 –2.9662 –
58 a+b·[D/(D+10)] –3.3633 10.2806 – – –
59 a+b·ln(D) –10.7699 2.6016 – – –
60 a+b·ln(D) –10.2692 2.5124 – – –
61 a+b·log(D2·H) –6.510 1.5593 – – –
62 a+b·[D/(D+5)] –5.9507 7.9266 – – –
63 a+b·[D/(D+30)]+c·H+d·ln(H) –6.6237 11.2872 –0.3081 2.6821 –
64 a+b·ln(D) 1.637 1.9554 – – –
65 a+b·log(D2·H) –3.454 1.0961 – – –
66 a+b·ln(D)+c·ln[(D2)·H] 10.2953 7.9621 –2.3022 – –
67 a+b·log(D2·H) –3.887 1.3668 – – –
68 a+b·log(D2·H) –2.311 0.9256 – – –
69 a+b·[D/(D+14)] –3.2518 10.3876 – – –
70 a+b·[D/(D+14)]+c·ln(H) –4.0778 8.3019 0.7433 – –
71 a+b·ln(D)+c·H+d·ln[(D2)·H] 5.8227 3.3503 0.0259 –0.8584 –
72 a+b·[D/(D+7)]+c·H+d·ln(H) –3.5686 8.2827 0.0393 0.5772 –
73 a+b·log(D2·H) –3.540 1.1488 – – –
74 a+b·log(D2·H) –1.785 0.9910 – – –
75 a+b·[D/(D+8)] –3.0932 11.0735 – – –
76 a+b·[D/(D+11)] –2.3327 10.8109 – – –
77 a+b·[D/(D+11)]+c·ln(H) –3.3045 8.1184 0.9783 – –
78 a+b·ln(D)+c·H+d·ln[(D2)·H] 7.4223 3.9941 0.0338 –1.0984 –
79 a+b·ln(D) –1.762 2.2644 – – –
80 a·log(H·D2)+b 0.6816 –1.0003 – – –
81 a+b·ln(D) –1.3816 2.3485 – – –
82 a+b·ln(D) –5.2898 2.9353 – – –
83 a+b·ln(D) –4.1814 1.6645 – – –
84 a+b·ln(D) –1.6015 2.3427 – – –
85 a+b·ln(D) –1.7716 1.073 – – –
86 a+b·ln(D)+c·ln(H) –2.872 2.095 0.678 – –
87 a+b·log(D) 2.85102 2.0666 – – –
88 a·Db 0.453 2.139 – – –
89 a·Db 0.1143 2.503 – – –
90 a·Db·Hc 0.0306 2.347 0.590 – –
91 a·Db 0.0798 2.601 – – –
92 a·Db 0.1315 2.4321 – – –
93 a+log[H·(D2)]·b –1.7194 1.0414 – – –
94 a·Db·Hc 0.04736 1.80521 0.99603 – –
95 a·Db·Hc 0.16885 2.44639 –0.1431 – –
96 a·Db·Hc 0.00868 2.25454 1.09409 – –
97 a·Db·Hc 0.03927 2.01361 0.87832 – –
98 a+b·log(D) 0.41439 3.18522 – – –
99 a·Db 0.021 2.471 – – –
100 a+b·ln(D) –6.2524 3.328 – – –
101 a·Db·Hc 0.0114 3.682 –1.031 – –
102 a·Db 0.0020 3.265 – – –
103 a·Db 0.0317 2.3931 – – –
104 a+log[H·(D2)]·b –3.2114 1.2481 – – –
105 a·Db·Hc 0.0183 3.614 –1.078 – –
106 a·Db 0.0031 3.161 – – –
107 a·D2 2.595.10–4 – – – –
108 a+b·Dc 0.00686 1.92.10–5 2.4658 – –
109 a+b·ln(D) –4.8599 2.1935 – – –
110 a·Db 0.00295 2.43854 – – –
111 a·Db·Hc 0.02408 3.04567 –1.51571 – –
112 a·Db·Hc 0.0167 2.951 –1.101 – –
113 a+b·Dc 0.375 0.0024 2.517 – –
114 a·Db 0.0145 1.9531 – – –
115 a+b·ln(D) –4.1302 2.6099 – – –
116 a+b·ln(D) –5.7948 2.1609 – – –
117 a+b·ln(D) –5.4415 2.082 – – –
118 a+b·ln(D) –3.8219 2.5382 – – –
119 a+b·log(D) –1.66 2.54 – – –
120 a+b·log(D) –2 2.7 – – –
121 a+log[H·(D2)]·b –2.8434 1.104 – – –
122 a+b·ln(D) –3.0741 2.0543 – – –
